ニンゲン, ningen, humano  
ヒト, hito, persona  
オトコ, otoko, hombre  
オンナ, onna, mujer  
カゾク, kazoku, familia  
アシ, ashi, pie, pierna  
カカト, kakato, talón  
スネ, sune, espinilla  
ヒザ, hiza, rodilla  
モモ, momo, muslo  
アタマ, atama, cabeza  
カオ, kao, cara  
クチ, kuchi, boca  
クチビル, kuchibiru, labios  
ハ, ha, diente  
ハナ, hana, nariz  
ヒゲ, hige, bigotes  
ミミ, mimi, oreja  
イ, i, estómago  
ウデ, ude, brazo  
ヒジ, hiji, codo  
カタ, kata, hombro  
ツメ, tsume, uña  
テ, te, mano  
テクビ, tekubi, muñeca  
ユビ, yubi, dedo  
シリ, shiri, trasero, cola, nalgas  
オナカ, onaka, abdomen  
カンゾウ, kanzō, hígado  
キンニク, kin'niku, músculo  
クビ, kubi, cuello  
ココロ, kokoro, corazón, mente, alma  
コシ, koshi, cintura, cadera, parte inferior de la espalda  
セナカ, senaka, espalda  
チ, chi, sangre  
ニク, niku, carne  
ハダ, hada, piel humana  
ヒフ, hifu, piel en general  
ホネ, hone, hueso  
ムネ, mune, pecho  
カゼ, kaze, resfriado  
ゲリ, geri, diarrea  
ビョウキ, byōki, enfermedad  
オヤ, oya, padres  
コドモ, kodomo, niño/a, hijo/a  
チチ, chichi, padre  
ハハ, haha, madre  
ツマ, tsuma, esposa  
オット, otto, esposo  
アニ, ani, hermano mayor  
アネ, ane, hermana mayor  
オトウト, otōto, hermano menor  
イモウト, imōto, hermana menor  
キョウダイ, kyōdai, hermanos/as  
シマイ, shimai, hermanas  
ソフ, sofu, abuelo  
ソボ, sobo, abuela  
マゴ, mago, nieto/a  
オジ, oji, tío  
オバ, oba, tía  
イキモノ, ikimono, criatura, ser vivo  
ドウブツ, dōbutsu, animal  
イヌ, inu, perro  
ネコ, neko, gato  
ウシ, ushi, vaca  
ブタ, buta, cerdo  
ウマ, uma, caballo  
ヒツジ, hitsuji, oveja  
サル, saru, mono  
ネズミ, nezumi, ratón/rata  
トラ, tora, tigre  
ウサギ, usagi, conejo  
リュウ, ryuu, dragón  
シカ, shika, ciervo  
カエル, kaeru, rana  
ライオン, raion, león  
キリン, kirin, jirafa  
ゾウ, zō, elefante  
トリ, tori, pájaro  
ニワトリ, niwatori, gallina  
スズメ, suzume, gorrión  
カラス, karasu, cuervo  
ワシ, washi, águila  
タカ, taka, halcón  
サカナ, sakana, pez  
タイ, tai, pargo japonés, besugo  
エビ, ebi, camarón, langosta  
イワシ, iwashi, sardina  
マグロ, maguro, atún  
カツオ, katsuo, atún listado, bonito  
サンマ, sanma, lucio  
アジ, aji, jurel, Trachurus japonicus  
タコ, tako, pulpo  
ムシ, mushi, insecto  
チョウ, chō, mariposa  
ガ, ga, polilla  
トンボ, tonbo, libélula  
バッタ, batta, saltamontes  
クモ, kumo, araña  
ホタル, hotaru, luciérnaga  
ハエ, hae, mosca  
カ, ka, mosquito  
ゴキブリ, gokiburi, cucaracha  
カタツムリ, katatsumuri, caracol  
ナメクジ, namekuji, babosa  
ミミズ, mimizu, lombriz de tierra  
カイ, kai, marisco  
カイガラ, kaigara, concha de molusco  
ヤサイ, yasai, verdura  
ハクサイ, hakusai, col china  
ダイコン, daikon, rábano japonés  
ニンジン, ninjin, zanahoria  
ゴボウ, gobō, raíz de bardana  
レンコン, renkon, raíz de loto  
タマネギ, tamanegi, cebolla  
ネギ, negi, puerro, cebollín  
ジャガイモ, jagaimo, papa  
サツマイモ, satsumaimo, camote, batata  
ナス, nasu, berenjena  
トマト, tomato, tomate  
キュウリ, kyūri, pepino  
ピーマン, pīman, pimiento  
カボチャ, kabocha, calabaza  
トウモロコシ, tōmorokoshi, maíz  
エダマメ, edamame, soja tierna  
ホウレンソウ, hōrensō, espinaca  
キャベツ, kyabetsu, repollo  
レタス, retasu, lechuga  
シイタケ, shiitake, hongo shiitake  
マツタケ, matsutake, hongo matsutake  
シメジ, shimeji, hongo shimeji  
エノキ, enoki, hongo enoki  
コンニャク, konnyaku, konjac  
クサ, kusa, hierba  
ミズ, mizu, agua  
オチャ, ocha, té  
コーヒー, kōhī, café  
ギュウニュウ, gyūnyū, leche  
ジュース, jūsu, jugo  
ビール, bīru, cerveza  
サケ, sake, sake japonés  
ワイン, wain, vino  
ウィスキー, uisukī, whisky  
パン, pan, pan  
ゴハン, gohan, arroz cocido, comida  
ミソ, miso, pasta de soya fermentada  
ショウユ, shōyu, salsa de soja  
ス, su, vinagre  
シオ, shio, sal  
サトウ, satō, azúcar  
コショウ, koshō, pimienta  
トウガラシ, tōgarashi, ají, chile  
ショウガ, shōga, jengibre  
